0 74 148 222 296 370 444 518 592 666 740 814 888 962 1036 1110 1184 1258 1332 1406 1480 1554 1628 1702 1776 1850 1924 1998 2072 2146 2220 2294 2368
1 75 149 223 297 371 445 519 593 667 741 815 889 963 1037 1111 1185 1259 1333 1407 1481 1555 1629 1703 1777 1851 1925 1999 2073 2147 2221 2295 2369
2 76 150 224 298 372 446 520 594 668 742 816 890 964 1038 1112 1186 1260 1334 1408 1482 1556 1630 1704 1778 1852 1926 2000 2074 2148 2222 2296 2370
3 77 151 225 299 373 447 521 595 669 743 817 891 965 1039 1113 1187 1261 1335 1409 1483 1557 1631 1705 1779 1853 1927 2001 2075 2149 2223 2297 2371
4 78 152 226 300 374 448 522 596 670 744 818 892 966 1040 1114 1188 1262 1336 1410 1484 1558 1632 1706 1780 1854 1928 2002 2076 2150 2224 2298 2372
5 79 153 227 301 375 449 523 597 671 745 819 893 967 1041 1115 1189 1263 1337 1411 1485 1559 1633 1707 1781 1855 1929 2003 2077 2151 2225 2299 2373
6 80 154 228 302 376 450 524 598 672 746 820 894 968 1042 1116 1190 1264 1338 1412 1486 1560 1634 1708 1782 1856 1930 2004 2078 2152 2226 2300 2374
7 81 155 229 303 377 451 525 599 673 747 821 895 969 1043 1117 1191 1265 1339 1413 1487 1561 1635 1709 1783 1857 1931 2005 2079 2153 2227 2301 2375
8 82 156 230 304 378 452 526 600 674 748 822 896 970 1044 1118 1192 1266 1340 1414 1488 1562 1636 1710 1784 1858 1932 2006 2080 2154 2228 2302 2376
9 83 157 231 305 379 453 527 601 675 749 823 897 971 1045 1119 1193 1267 1341 1415 1489 1563 1637 1711 1785 1859 1933 2007 2081 2155 2229 2303 2377
10 84 158 232 306 380 454 528 602 676 750 824 898 972 1046 1120 1194 1268 1342 1416 1490 1564 1638 1712 1786 1860 1934 2008 2082 2156 2230 2304 2378
11 85 159 233 307 381 455 529 603 677 751 825 899 973 1047 1121 1195 1269 1343 1417 1491 1565 1639 1713 1787 1861 1935 2009 2083 2157 2231 2305 2379
12 86 160 234 308 382 456 530 604 678 752 826 900 974 1048 1122 1196 1270 1344 1418 1492 1566 1640 1714 1788 1862 1936 2010 2084 2158 2232 2306 2380
13 87 161 235 309 383 457 531 605 679 753 827 901 975 1049 1123 1197 1271 1345 1419 1493 1567 1641 1715 1789 1863 1937 2011 2085 2159 2233 2307 2381
14 88 162 236 310 384 458 532 606 680 754 828 902 976 1050 1124 1198 1272 1346 1420 1494 1568 1642 1716 1790 1864 1938 2012 2086 2160 2234 2308 2382
15 89 163 237 311 385 459 533 607 681 755 829 903 977 1051 1125 1199 1273 1347 1421 1495 1569 1643 1717 1791 1865 1939 2013 2087 2161 2235 2309 2383
16 90 164 238 312 386 460 534 608 682 756 830 904 978 1052 1126 1200 1274 1348 1422 1496 1570 1644 1718 1792 1866 1940 2014 2088 2162 2236 2310 2384
17 91 165 239 313 387 461 535 609 683 757 831 905 979 1053 1127 1201 1275 1349 1423 1497 1571 1645 1719 1793 1867 1941 2015 2089 2163 2237 2311 2385
18 92 166 240 314 388 462 536 610 684 758 832 906 980 1054 1128 1202 1276 1350 1424 1498 1572 1646 1720 1794 1868 1942 2016 2090 2164 2238 2312 2386
19 93 167 241 315 389 463 537 611 685 759 833 907 981 1055 1129 1203 1277 1351 1425 1499 1573 1647 1721 1795 1869 1943 2017 2091 2165 2239 2313 2387
20 94 168 242 316 390 464 538 612 686 760 834 908 982 1056 1130 1204 1278 1352 1426 1500 1574 1648 1722 1796 1870 1944 2018 2092 2166 2240 2314 2388
