0 37 74 111 148 185 222 259 296 333 370 407 444 481 518 555 592 629 666 703 740 777 814 851 888 925 962 999 1036 1073 1110 1147 1184 1221 1258 1295 1332 1369 1406
1 38 75 112 149 186 223 260 297 334 371 408 445 482 519 556 593 630 667 704 741 778 815 852 889 926 963 1000 1037 1074 1111 1148 1185 1222 1259 1296 1333 1370 1407
2 39 76 113 150 187 224 261 298 335 372 409 446 483 520 557 594 631 668 705 742 779 816 853 890 927 964 1001 1038 1075 1112 1149 1186 1223 1260 1297 1334 1371 1408
3 40 77 114 151 188 225 262 299 336 373 410 447 484 521 558 595 632 669 706 743 780 817 854 891 928 965 1002 1039 1076 1113 1150 1187 1224 1261 1298 1335 1372 1409
4 41 78 115 152 189 226 263 300 337 374 411 448 485 522 559 596 633 670 707 744 781 818 855 892 929 966 1003 1040 1077 1114 1151 1188 1225 1262 1299 1336 1373 1410
5 42 79 116 153 190 227 264 301 338 375 412 449 486 523 560 597 634 671 708 745 782 819 856 893 930 967 1004 1041 1078 1115 1152 1189 1226 1263 1300 1337 1374 1411
6 43 80 117 154 191 228 265 302 339 376 413 450 487 524 561 598 635 672 709 746 783 820 857 894 931 968 1005 1042 1079 1116 1153 1190 1227 1264 1301 1338 1375 1412
7 44 81 118 155 192 229 266 303 340 377 414 451 488 525 562 599 636 673 710 747 784 821 858 895 932 969 1006 1043 1080 1117 1154 1191 1228 1265 1302 1339 1376 1413
8 45 82 119 156 193 230 267 304 341 378 415 452 489 526 563 600 637 674 711 748 785 822 859 896 933 970 1007 1044 1081 1118 1155 1192 1229 1266 1303 1340 1377 1414
9 46 83 120 157 194 231 268 305 342 379 416 453 490 527 564 601 638 675 712 749 786 823 860 897 934 971 1008 1045 1082 1119 1156 1193 1230 1267 1304 1341 1378 1415
10 47 84 121 158 195 232 269 306 343 380 417 454 491 528 565 602 639 676 713 750 787 824 861 898 935 972 1009 1046 1083 1120 1157 1194 1231 1268 1305 1342 1379 1416
11 48 85 122 159 196 233 270 307 344 381 418 455 492 529 566 603 640 677 714 751 788 825 862 899 936 973 1010 1047 1084 1121 1158 1195 1232 1269 1306 1343 1380 1417
12 49 86 123 160 197 234 271 308 345 382 419 456 493 530 567 604 641 678 715 752 789 826 863 900 937 974 1011 1048 1085 1122 1159 1196 1233 1270 1307 1344 1381 1418
13 50 87 124 161 198 235 272 309 346 383 420 457 494 531 568 605 642 679 716 753 790 827 864 901 938 975 1012 1049 1086 1123 1160 1197 1234 1271 1308 1345 1382 1419
14 51 88 125 162 199 236 273 310 347 384 421 458 495 532 569 606 643 680 717 754 791 828 865 902 939 976 1013 1050 1087 1124 1161 1198 1235 1272 1309 1346 1383 1420
15 52 89 126 163 200 237 274 311 348 385 422 459 496 533 570 607 644 681 718 755 792 829 866 903 940 977 1014 1051 1088 1125 1162 1199 1236 1273 1310 1347 1384 1421
16 53 90 127 164 201 238 275 312 349 386 423 460 497 534 571 608 645 682 719 756 793 830 867 904 941 978 1015 1052 1089 1126 1163 1200 1237 1274 1311 1348 1385 1422
17 54 91 128 165 202 239 276 313 350 387 424 461 498 535 572 609 646 683 720 757 794 831 868 905 942 979 1016 1053 1090 1127 1164 1201 1238 1275 1312 1349 1386 1423
18 55 92 129 166 203 240 277 314 351 388 425 462 499 536 573 610 647 684 721 758 795 832 869 906 943 980 1017 1054 1091 1128 1165 1202 1239 1276 1313 1350 1387 1424
19 56 93 130 167 204 241 278 315 352 389 426 463 500 537 574 611 648 685 722 759 796 833 870 907 944 981 1018 1055 1092 1129 1166 1203 1240 1277 1314 1351 1388 1425
20 57 94 131 168 205 242 279 316 353 390 427 464 501 538 575 612 649 686 723 760 797 834 871 908 945 982 1019 1056 1093 1130 1167 1204 1241 1278 1315 1352 1389 1426
21 58 95 132 169 206 243 280 317 354 391 428 465 502 539 576 613 650 687 724 761 798 835 872 909 946 983 1020 1057 1094 1131 1168 1205 1242 1279 1316 1353 1390 1427
22 59 96 133 170 207 244 281 318 355 392 429 466 503 540 577 614 651 688 725 762 799 836 873 910 947 984 1021 1058 1095 1132 1169 1206 1243 1280 1317 1354 1391 1428
23 60 97 134 171 208 245 282 319 356 393 430 467 504 541 578 615 652 689 726 763 800 837 874 911 948 985 1022 1059 1096 1133 1170 1207 1244 1281 1318 1355 1392 1429
24 61 98 135 172 209 246 283 320 357 394 431 468 505 542 579 616 653 690 727 764 801 838 875 912 949 986 1023 1060 1097 1134 1171 1208 1245 1282 1319 1356 1393 1430
25 62 99 136 173 210 247 284 321 358 395 432 469 506 543 580 617 654 691 728 765 802 839 876 913 950 987 1024 1061 1098 1135 1172 1209 1246 1283 1320 1357 1394 1431
26 63 100 137 174 211 248 285 322 359 396 433 470 507 544 581 618 655 692 729 766 803 840 877 914 951 988 1025 1062 1099 1136 1173 1210 1247 1284 1321 1358 1395 1432
27 64 101 138 175 212 249 286 323 360 397 434 471 508 545 582 619 656 693 730 767 804 841 878 915 952 989 1026 1063 1100 1137 1174 1211 1248 1285 1322 1359 1396 1433
28 65 102 139 176 213 250 287 324 361 398 435 472 509 546 583 620 657 694 731 768 805 842 879 916 953 990 1027 1064 1101 1138 1175 1212 1249 1286 1323 1360 1397 1434
29 66 103 140 177 214 251 288 325 362 399 436 473 510 547 584 621 658 695 732 769 806 843 880 917 954 991 1028 1065 1102 1139 1176 1213 1250 1287 1324 1361 1398 1435
30 67 104 141 178 215 252 289 326 363 400 437 474 511 548 585 622 659 696 733 770 807 844 881 918 955 992 1029 1066 1103 1140 1177 1214 1251 1288 1325 1362 1399 1436
